,points,province,variety,price
7817,4,California,Syrah,35.0
7818,2,California,Zinfandel,6.0
7820,2,Vin de Pays de Velvendo,Xinomavro,22.0
7821,3,Bordeaux,Bordeaux-style Red Blend,42.0
7822,2,Maipo Valley,Carmenère,10.0
7823,1,Oregon,Syrah,35.0
7824,1,California,Zinfandel,27.0
7825,2,California,Pinot Gris,12.0
7826,3,California,Zinfandel,40.0
7827,2,Burgundy,Chardonnay,10.0
7828,4,Mosel-Saar-Ruwer,Riesling,48.0
7829,2,Southern Italy,Verdeca,15.0
7830,3,California,Cinsault,21.0
7831,3,Burgundy,Chardonnay,32.0
7832,2,Wachau,Grüner Veltliner,22.0
7833,1,Bordeaux,Bordeaux-style White Blend,11.0
7834,2,Northern Spain,Rosé,9.0
7835,2,California,Sparkling Blend,18.0
7836,2,Victoria,Sauvignon Blanc,15.0
7837,4,Northern Spain,Tinto del Pais,54.0
7839,1,California,Zinfandel,34.0
7840,1,Other,Malbec,10.0
7841,4,New York,Riesling,36.0
7842,2,Bordeaux,Bordeaux-style Red Blend,16.0
7843,1,Mendoza Province,Merlot,10.0
7845,3,New York,Vidal Blanc,45.0
7846,3,Casablanca Valley,Sauvignon Blanc,13.0
7847,2,Washington,Chardonnay,10.0
7848,2,California,Red Blend,40.0
7849,4,Veneto,"Corvina, Rondinella, Molinara",60.0
7850,2,Curicó Valley,Cabernet Sauvignon,18.0
7851,2,South Australia,Grenache-Shiraz,12.0
7852,3,Veneto,Moscato Giallo,50.0
7853,3,Cachapoal Valley,Syrah,16.0
7854,4,Washington,Bordeaux-style Red Blend,50.0
7855,3,Tuscany,Prugnolo Gentile,29.0
7856,2,Washington,Red Blend,20.0
7857,4,South Australia,Shiraz,138.0
7858,5,California,Bordeaux-style Red Blend,125.0
7859,3,Washington,Malbec,35.0
7860,3,South Australia,Shiraz,39.0
7861,2,Mendoza Province,Muscat,25.0
7862,3,Northern Spain,Tempranillo Blend,18.0
7863,3,Northern Spain,Tempranillo Blend,48.0
7864,3,Elazığ,Okuzgozu,20.0
7865,2,California,Red Blend,28.0
7866,2,California,Chardonnay,18.0
7867,3,New York,Merlot,16.0
7868,2,Tuscany,Sangiovese,18.0
7869,3,Wagram-Donauland,Grüner Veltliner,16.0
7870,3,California,Rhône-style Red Blend,50.0
7871,3,Burgundy,Pinot Noir,68.0
7872,3,Thermenregion,St. Laurent,26.0
7873,2,Southwest France,Mauzac,15.0
7874,4,California,Sparkling Blend,80.0
7875,4,Washington,Syrah,60.0
7876,3,Veneto,"Corvina, Rondinella, Molinara",65.0
7877,3,Sicily & Sardinia,Red Blend,40.0
7878,2,Casablanca Valley,Chardonnay,10.0
7879,4,California,Grenache,42.0
7880,2,Spain Other,Sparkling Blend,8.0
7881,3,California,Pinot Noir,39.0
7882,3,Washington,Merlot,45.0
7883,3,California,Pinot Noir,45.0
7885,3,Veneto,Garganega,15.0
7886,3,Mosel-Saar-Ruwer,Riesling,23.0
7887,2,Colchagua Valley,Cabernet Sauvignon,18.0
7888,1,California,Zinfandel,20.0
7889,1,California,Red Blend,32.0
7891,2,Marlborough,Sauvignon Blanc,14.0
7892,3,Bordeaux,Bordeaux-style Red Blend,20.0
7895,3,California,Cabernet Sauvignon,15.0
7896,2,Piedmont,Dolcetto,19.0
7897,2,Sicily & Sardinia,Shiraz,10.0
7898,2,Washington,Sangiovese,15.0
7899,1,California,Rosé,18.0
7900,3,Washington,Malbec,35.0
7901,2,Washington,Syrah,35.0
7903,3,Coastal Region,Syrah-Viognier,20.0
7904,3,California,Zinfandel,45.0
7905,3,Washington,Red Blend,20.0
7907,2,California,Chardonnay,15.0
7908,3,Oregon,Pinot Noir,50.0
7909,2,Oregon,Pinot Noir,35.0
7911,3,Marlborough,Sauvignon Blanc,15.0
7912,3,California,Pinot Noir,38.0
7913,3,California,Chardonnay,19.0
7914,4,California,Chardonnay,40.0
7915,2,Mendoza Province,Malbec,13.0
7917,2,Northern Spain,Garnacha,8.0
7918,3,Burgundy,Chardonnay,25.0
7919,2,California,Cabernet Sauvignon,40.0
7920,2,Veneto,Prosecco,25.0
7921,2,California,Chardonnay,13.0
7922,2,Tuscany,Sangiovese,30.0
7923,3,Washington,Merlot,20.0
7924,3,California,Red Blend,20.0
7925,2,New South Wales,Verdelho,9.0
7926,3,Northern Spain,Tempranillo,20.0
7927,1,Oregon,Viognier,18.0
7928,2,Tuscany,Sangiovese,13.0
7929,2,Northern Spain,Tempranillo,15.0
7930,5,California,Cabernet Sauvignon,70.0
7931,3,Piedmont,Barbera,20.0
7932,2,California,Cabernet Sauvignon,45.0
7933,2,Hawke's Bay,Merlot,18.0
7934,2,Curicó Valley,Cabernet Sauvignon,10.0
7935,1,California,Zinfandel,15.0
7936,2,California,Zinfandel,12.0
7937,3,Oregon,Pinot Noir,35.0
7938,2,Central Valley,Sauvignon Blanc,10.0
7939,2,California,Merlot,15.0
7940,2,Mendoza Province,Malbec,9.0
7942,1,California,Petite Sirah,22.0
7943,4,Washington,Cabernet Sauvignon,62.0
7944,2,Northern Spain,Tinta de Toro,22.0
7945,3,California,Pinot Noir,32.0
7946,3,Colchagua Valley,Carmenère,8.0
7947,4,California,Viognier-Roussanne,65.0
7948,1,Piedmont,Cortese,16.0
7949,4,South Australia,Shiraz,25.0
7950,4,California,Syrah,18.0
7951,2,Mendoza Province,Malbec,24.0
7952,2,Choapa Valley,Syrah,16.0
7953,2,California,Petite Sirah,14.0
7954,3,Wachau,Grüner Veltliner,36.0
7955,2,Southern Italy,Syrah,20.0
7956,3,California,Pinot Noir,30.0
7957,3,Burgundy,Pinot Noir,80.0
7958,3,Port,Port,15.0
7959,2,Walker Bay,Red Blend,28.0
7960,2,California,Chardonnay,25.0
7961,2,California,Cabernet Sauvignon,14.0
7962,3,New York,Riesling,35.0
7963,3,Bordeaux,Bordeaux-style Red Blend,250.0
7964,2,Languedoc-Roussillon,Merlot,10.0
7965,2,Mendoza Province,Cabernet Sauvignon,9.0
7966,2,Marlborough,Pinot Noir,20.0
7967,3,Champagne,Champagne Blend,65.0
7969,3,California,Red Blend,15.0
7970,2,Washington,Syrah,28.0
7971,3,Northern Spain,Tempranillo,28.0
7972,3,Vinho Verde,Alvarinho,16.0
7974,2,California,Cabernet Franc,28.0
7975,3,South Australia,Shiraz,50.0
7976,2,Central Spain,Red Blend,45.0
7977,3,Burgundy,Chardonnay,26.0
7978,2,Curicó Valley,Sauvignon Blanc,12.0
7979,2,Alentejano,Portuguese Red,9.0
7980,4,Washington,Semillon-Sauvignon Blanc,21.0
7981,3,Southwest France,Gros Manseng,14.0
7982,2,Piedmont,Moscato,16.0
7983,1,California,Zinfandel,18.0
7984,2,Western Australia,Chardonnay,14.0
7985,4,Tuscany,Sangiovese Grosso,65.0
7986,4,Washington,Bordeaux-style Red Blend,35.0
7987,1,California,Cabernet Sauvignon,17.0
7988,4,Loire Valley,Sauvignon Blanc,61.0
7989,2,Swartland,White Blend,24.0
7990,3,California,Sauvignon Blanc,25.0
7991,2,Champagne,Champagne Blend,43.0
7992,2,California,Sauvignon Blanc,25.0
7993,3,Oregon,Pinot Noir,50.0
7994,2,Beaujolais,Gamay,25.0
7995,3,Languedoc-Roussillon,Rhône-style Red Blend,15.0
7996,4,California,Chardonnay,48.0
7997,2,Northern Spain,Tempranillo-Cabernet Sauvignon,15.0
7998,3,New South Wales,Shiraz,26.0
7999,4,Veneto,"Corvina, Rondinella, Molinara",155.0
8000,4,Southwest France,Malbec,60.0
8001,2,Maule Valley,Carmenère,12.0
8002,1,California,Merlot,14.0
8004,1,Catalonia,Sparkling Blend,40.0
8005,3,Nemea,Red Blend,18.0
8006,3,Washington,Syrah,26.0
8007,1,California,Cabernet Sauvignon,19.0
8008,3,Marlborough,Sauvignon Blanc,15.0
8009,3,Washington,Petite Verdot,37.0
8010,2,Burgundy,Chardonnay,16.0
8011,2,Northern Spain,Tempranillo,65.0
8012,4,California,Chardonnay,55.0
8013,2,New York,Bordeaux-style Red Blend,25.0
8014,4,Tuscany,Cabernet Sauvignon,65.0
8015,3,Bordeaux,Bordeaux-style Red Blend,30.0
8016,2,California,Pinot Grigio,19.0
8017,4,Tuscany,Sangiovese Grosso,70.0
8018,1,California,Chardonnay,26.0
8019,3,California,Sauvignon Blanc,23.0
8020,3,California,Chardonnay,20.0
8021,2,Catalonia,Sparkling Blend,22.0
8022,4,Washington,Cabernet Sauvignon,95.0
8023,4,Northern Spain,Tinta de Toro,220.0
8024,2,California,Barbera,25.0
8025,2,California,Cabernet Sauvignon,15.0
8026,3,Bairrada,Portuguese Red,9.0
8027,2,Bordeaux,Bordeaux-style Red Blend,20.0
8029,3,Alsace,Riesling,25.0
8030,2,California,Chardonnay,15.0
8031,3,California,Mourvèdre,45.0
8032,2,Victoria,Chardonnay,16.0
8033,4,Port,Port,50.0
8035,2,New York,Bordeaux-style Red Blend,25.0
8036,3,Tuscany,Sangiovese Grosso,27.0
8037,2,Levante,Tempranillo Blend,20.0
8038,2,Bordeaux,Merlot,19.0
8039,1,California,Pinot Noir,19.0
8040,4,Bordeaux,Bordeaux-style Red Blend,135.0
8041,3,Burgundy,Pinot Noir,27.0
8042,3,Central Italy,White Blend,10.0
8043,2,California,Chardonnay,20.0
8044,2,California,Mourvèdre,24.0
8045,3,Champagne,Champagne Blend,48.0
8046,2,Northern Spain,Tempranillo,13.0
8047,3,Tuscany,Red Blend,60.0
8048,2,California,Pinot Noir,20.0
8049,3,California,Gewürztraminer,19.0
8051,4,California,Cabernet Sauvignon,75.0
8052,2,California,Rosé,16.0
8053,1,Hawke's Bay,Sauvignon Blanc,14.0
8054,3,California,Chardonnay,39.0
8055,2,California,Sangiovese,24.0
8057,2,Northern Spain,Tempranillo Blend,12.0
8058,3,Washington,Gewürztraminer,25.0
8059,2,Northeastern Italy,Red Blend,13.0
8060,3,Washington,Cabernet Sauvignon,26.0
8061,3,Wachau,Riesling,30.0
8062,1,Washington,Syrah,28.0
8064,2,Northern Spain,Garnacha,8.0
8065,3,Northeastern Italy,Chardonnay,24.0
8066,2,Washington,Syrah,26.0
8067,2,Other,Malbec,20.0
8068,2,Southwest France,Malbec-Merlot,16.0
8069,2,California,Chardonnay,35.0
8070,4,California,Pinot Noir,95.0
8071,3,Western Cape,Chenin Blanc,15.0
8072,2,Central Italy,Montepulciano,9.0
8074,3,Bairrada,Portuguese White,28.0
8075,2,California,Chardonnay,25.0
8076,3,California,Pinot Noir,60.0
8078,4,Colchagua Valley,Syrah,60.0
8080,4,California,Pinot Noir,50.0
8081,2,Tuscany,Sangiovese Grosso,17.0
8083,2,Santorini,Assyrtico,17.0
8084,3,Piedmont,Chardonnay,22.0
8085,4,Tuscany,Sangiovese,61.0
8086,1,Mendoza Province,Pinot Gris,9.0
8088,2,Beaujolais,Gamay,13.0
8090,4,Piedmont,Nebbiolo,61.0
8091,2,California,Pinot Noir,25.0
8092,1,Italy Other,Trebbiano,11.0
8093,4,Washington,Syrah,30.0
8094,3,Burgundy,Pinot Noir,65.0
8095,1,Rheinhessen,Riesling,13.0
8096,3,Rhône Valley,Rosé,14.0
8098,2,Southern Italy,Falanghina,12.0
8099,2,Stellenbosch,Shiraz,15.0
8100,3,New York,Riesling,36.0
8101,3,Idaho,Bordeaux-style Red Blend,28.0
8102,3,Burgundy,Pinot Noir,26.0
8103,2,Loire Valley,Cabernet Franc,19.0
8104,2,Tuscany,Sangiovese,21.0
8107,3,Marlborough,Sauvignon Blanc,24.0
8109,3,Alsace,Riesling,19.0
8110,2,Leyda Valley,Pinot Noir,19.0
8111,3,Oregon,Pinot Noir,50.0
8112,3,Washington,Red Blend,35.0
8113,4,California,Cabernet Sauvignon,55.0
8114,3,California,G-S-M,35.0
8116,2,Washington,Red Blend,25.0
8117,1,Mendoza Province,Malbec,11.0
8118,2,Levante,Tempranillo,12.0
8119,4,California,Chardonnay,24.0
8120,3,Burgundy,Chardonnay,46.0
8121,2,Mendoza Province,White Blend,15.0
8122,3,California,Pinot Noir,20.0
8123,2,Cachapoal Valley,Cabernet Sauvignon,14.0
8124,2,Rhône Valley,Rhône-style White Blend,11.0
8125,3,Northern Spain,Garnacha,9.0
8126,4,Piedmont,Red Blend,205.0
8128,2,Oregon,Pinot Noir,30.0
8129,2,Oregon,Pinot Blanc,22.0
8130,3,California,Merlot,24.0
8131,3,Andalucia,Sherry,14.0
8132,3,Washington,Red Blend,50.0
8133,3,California,Cabernet Sauvignon,38.0
8136,3,Washington,Cabernet Franc,18.0
8137,3,California,Syrah,36.0
8138,2,Marlborough,Pinot Noir,20.0
8139,2,Tuscany,Red Blend,20.0
8140,2,California,Sémillon,20.0
8141,3,Washington,Red Blend,80.0
8142,3,California,Cabernet Sauvignon,75.0
8143,2,Piedmont,Arneis,16.0
8144,4,Pfalz,Riesling,65.0
8145,4,California,Zinfandel,30.0
8146,3,Washington,Riesling,14.0
8147,4,California,Pinot Noir,56.0
8148,1,California,Merlot,11.0
8149,4,Bordeaux,Bordeaux-style Red Blend,70.0
8150,2,Loire Valley,Pinot Noir,26.0
8151,4,Loire Valley,Sauvignon Blanc,44.0
8152,2,Mosel-Saar-Ruwer,Riesling,20.0
8153,4,California,Pinot Noir,25.0
8154,3,Vienna,Red Blend,20.0
8155,2,Washington,Nebbiolo,42.0
8156,2,Mendoza Province,Malbec,10.0
8157,2,California,Chardonnay,18.0
8158,1,California,Syrah,29.0
8159,1,California,Pinot Noir,26.0
8160,3,Tuscany,Sangiovese,18.0
8161,3,Northeastern Italy,Pinot Grigio,24.0
8162,2,California,Sauvignon Blanc,15.0
8163,3,Douro,Portuguese Red,16.0
8164,3,Veneto,"Corvina, Rondinella, Molinara",55.0
8165,2,California,Pinot Noir,25.0
8166,2,Oregon,Riesling,20.0
8168,2,California,Chardonnay,25.0
8169,4,Washington,Bordeaux-style Red Blend,45.0
8170,1,California,Zinfandel,8.0
8171,2,Mosel-Saar-Ruwer,Riesling,15.0
8172,1,California,Sauvignon Blanc,14.0
8173,3,Piedmont,Nebbiolo,29.0
8174,2,Madeira,Verdelho,21.0
8175,3,Burgundy,Chardonnay,38.0
8176,2,Western Australia,Pinot Noir,15.0
8177,2,Washington,Merlot,36.0
8178,4,Mosel,Riesling,120.0
8179,2,Nelson,Pinot Gris,18.0
8180,3,Ontario,Riesling,30.0
8181,2,California,Pinot Noir,52.0
8182,2,California,Cabernet Sauvignon,55.0
8183,2,Burgundy,Pinot Noir,22.0
8184,3,Central Otago,Pinot Noir,40.0
8185,2,Beaujolais,Gamay,15.0
8186,1,Sicily & Sardinia,Red Blend,18.0
8187,2,California,Sauvignon Blanc,34.0
8188,2,Maipo Valley,Merlot,15.0
8189,3,Southern Italy,Aglianico,55.0
8190,2,Catalonia,Sparkling Blend,15.0
8191,3,Oregon,Sparkling Blend,28.0
8192,3,Burgundy,Chardonnay,50.0
8193,1,Languedoc-Roussillon,Sauvignon Blanc,10.0
8194,2,Northern Spain,Tempranillo,20.0
8195,3,California,Zinfandel,30.0
8196,3,California,Zinfandel,20.0
8197,3,California,White Blend,40.0
8198,2,California,Syrah,42.0
8199,3,California,Sparkling Blend,52.0
8200,2,Rhône Valley,Syrah,96.0
8201,3,Northern Spain,Tempranillo Blend,19.0
8202,3,Burgundy,Pinot Noir,69.0
8203,2,Franken,Silvaner,20.0
8204,2,California,Chardonnay,25.0
8205,2,Tuscany,Moscadello,35.0
8206,2,Mosel,Riesling,10.0
8207,2,Oregon,Pinot Noir,30.0
8208,1,California,Chardonnay,8.0
8209,2,Veneto,Glera,15.0
8210,2,Northeastern Italy,Pinot Grigio,18.0
8211,4,California,Syrah,55.0
8212,4,Oregon,Pinot Noir,55.0
8213,2,Central Valley,Chardonnay,12.0
8214,4,California,Pinot Noir,69.0
8215,2,Mendoza Province,Chardonnay,12.0
8216,3,Washington,Cabernet Sauvignon,26.0
8217,2,Sicily & Sardinia,Catarratto,17.0
8218,3,Piedmont,Nebbiolo,65.0
8219,2,California,Pinot Noir,10.0
8220,1,California,Pinot Noir,22.0
8221,2,Catalonia,Sparkling Blend,27.0
8222,2,California,Cabernet Sauvignon,26.0
8223,3,California,Pinot Noir,45.0
8224,3,Bordeaux,Bordeaux-style Red Blend,42.0
8226,2,Mendoza Province,Malbec,11.0
8227,3,Western Cape,Red Blend,30.0
8229,4,Bordeaux,Bordeaux-style Red Blend,163.0
8230,3,California,Verdelho,15.0
8231,4,California,Cabernet Blend,50.0
8233,3,Washington,Syrah,42.0
8234,3,New York,Cabernet Franc,22.0
8235,4,Oregon,Riesling,35.0
8236,2,California,Cabernet Sauvignon,75.0
8237,3,Washington,Syrah,55.0
8238,4,Mendoza Province,Malbec,23.0
8239,3,New York,Chardonnay,22.0
8240,3,Oregon,Chardonnay,19.0
8241,3,Other,Malbec-Merlot,26.0
8242,3,California,Chardonnay,45.0
8243,2,Gisborne,Chardonnay,17.0
8244,2,California,Barbera,25.0
8245,2,California,Merlot,32.0
8246,2,Victoria,Chardonnay,12.0
8247,3,Washington,Red Blend,29.0
8248,3,Bordeaux,Bordeaux-style Red Blend,55.0
8249,2,Mendoza Province,Cabernet Sauvignon,11.0
8250,4,Provence,Rosé,19.0
8251,3,California,Zinfandel,30.0
8252,3,Bordeaux,Bordeaux-style Red Blend,25.0
8253,1,Maule Valley,White Blend,12.0
8255,3,Kremstal,Grüner Veltliner,25.0
8256,3,Sicily & Sardinia,Vermentino,33.0
8257,3,Catalonia,Red Blend,29.0
8258,2,California,Cabernet Sauvignon,30.0
8259,3,Provence,White Blend,28.0
8260,2,California,Malbec,28.0
8261,4,California,Cabernet Sauvignon,65.0
8262,2,California,Cabernet Sauvignon,18.0
8263,3,California,Cabernet Sauvignon,50.0
8264,2,California,Semillon-Chardonnay,16.0
8265,2,California,Red Blend,32.0
8266,4,California,Syrah,48.0
8269,2,Marlborough,Pinot Noir,20.0
8270,2,Mendoza Province,Cabernet Sauvignon,12.0
8271,1,California,Sangiovese,18.0
8272,1,Middle and South Dalmatia,Plavac Mali,65.0
8273,3,California,Red Blend,20.0
8274,3,Washington,Rhône-style White Blend,20.0
8275,4,Champagne,Champagne Blend,143.0
8276,3,Southern Italy,Red Blend,64.0
8279,3,Oregon,Tempranillo,28.0
8280,1,Northern Spain,Tempranillo,30.0
8281,1,California,Red Blend,10.0
8282,2,Central Valley,Merlot,15.0
8283,3,Tuscany,White Blend,62.0
8284,3,California,Chardonnay,55.0
8285,3,Oregon,Pinot Noir,55.0
8286,3,Washington,Red Blend,45.0
8287,1,Northern Spain,Verdejo,15.0
8288,3,Alentejano,Portuguese White,20.0
8289,2,Marlborough,Sauvignon Blanc,10.0
8290,3,San Antonio,Sauvignon Blanc,15.0
8291,4,Mendoza Province,Red Blend,35.0
8292,3,Catalonia,Red Blend,66.0
8293,3,Piedmont,Barbera,39.0
8294,2,Western Cape,Shiraz,40.0
8295,3,Veneto,Red Blend,70.0
8296,4,California,Cabernet Sauvignon,50.0
8297,2,Western Cape,Chenin Blanc,10.0
8298,2,Western Australia,Chenin Blanc,25.0
8299,2,California,Meritage,26.0
8300,3,Loire Valley,Sauvignon Blanc,23.0
8301,2,Washington,Cabernet Sauvignon,30.0
8302,3,California,Pinot Noir,35.0
8303,1,Central Valley,Rosé,10.0
8304,4,Burgundy,Chardonnay,94.0
8305,2,Maipo Valley,Carmenère,12.0
8306,3,Oregon,Pinot Noir,35.0
8308,1,Mendoza Province,Cabernet Sauvignon,10.0
8309,2,Burgenland,Blaufränkisch,14.0
8310,2,Northeastern Italy,Pinot Bianco,18.0
8311,3,Kumeu,Pinot Noir,30.0
8312,3,Champagne,Champagne Blend,140.0
8313,2,California,Syrah,28.0
8314,1,Washington,Sémillon,15.0
8316,3,Central Spain,Garnacha-Monastrell,16.0
8317,1,California,Pinot Noir,20.0
8318,3,Washington,Zinfandel,27.0
8319,3,Southwest France,Tannat-Cabernet,15.0
8320,3,Washington,Red Blend,34.0
8321,3,Tuscany,Merlot,25.0
8322,3,California,Merlot,20.0
8323,2,California,Merlot,30.0
8324,2,Washington,Syrah,19.0
8325,1,California,Pinot Noir,24.0
8326,1,California,Pinot Noir,60.0
8327,2,Maipo Valley,Malbec,19.0
8328,4,Burgundy,Pinot Noir,110.0
8329,3,Burgundy,Chardonnay,39.0
8330,2,Vinho Verde,Portuguese White,6.0
8331,3,Peloponnese,White Blend,10.0
8332,3,Elgin,Sauvignon Blanc,12.0
8333,3,Tuscany,Sangiovese Grosso,45.0
8334,3,Mosel,Riesling,45.0
8335,2,Aconcagua Valley,Sauvignon Blanc,12.0
8336,1,California,Merlot,22.0
8337,2,Oregon,Riesling,18.0
8338,4,Mosel-Saar-Ruwer,Riesling,25.0
8340,3,Mosel-Saar-Ruwer,Riesling,20.0
8341,2,New York,Merlot,20.0
8342,1,Central Spain,White Blend,7.0
8343,1,California,Cabernet Sauvignon,9.0
8344,4,Tuscany,Sangiovese Grosso,75.0
8345,3,California,Cabernet Franc,35.0
8346,2,Limarí Valley,Red Blend,16.0
8347,3,California,Rosé,24.0
8348,2,California,Zinfandel,49.0
8349,3,Tuscany,Sangiovese Grosso,42.0
8350,2,Mendoza Province,Cabernet Sauvignon,23.0
8351,3,Rheingau,Riesling,20.0
8352,3,Alentejano,Portuguese Red,34.0
8353,2,Niederösterreich,Rosé,13.0
8354,3,Lombardy,Chardonnay,58.0
8355,2,Oregon,Pinot Noir,22.0
8356,2,California,Chardonnay,10.0
8357,2,Virginia,Bordeaux-style Red Blend,25.0
8358,3,Veneto,"Corvina, Rondinella, Molinara",24.0
8359,3,Provence,Rosé,20.0
8360,3,California,Grenache,32.0
8361,2,Central Italy,Montepulciano,22.0
8362,2,Catalonia,Sparkling Blend,12.0
8363,4,Washington,Syrah,28.0
8365,3,California,Bordeaux-style Red Blend,35.0
8366,2,Australia Other,Sparkling Blend,10.0
8369,2,Northeastern Italy,Kerner,20.0
8370,1,Mendoza Province,Sémillon,15.0
8372,3,Western Australia,Chardonnay,19.0
8373,2,Oregon,Pinot Noir,35.0
8375,4,Burgundy,Pinot Noir,225.0
8376,2,Northern Spain,White Blend,11.0
8377,2,Northeastern Italy,White Blend,25.0
8378,2,Northern Spain,Tempranillo,10.0
8379,2,Casablanca Valley,Chardonnay,12.0
8380,3,Washington,Syrah,35.0
8381,3,British Columbia,Pinot Noir,40.0
8382,3,California,Pinot Noir,48.0
8384,2,Northern Spain,Tempranillo,10.0
8385,2,California,Sangiovese,18.0
8386,3,California,Sauvignon Blanc-Semillon,24.0
8387,2,California,Pinot Noir,44.0
8389,3,Niederösterreich,Grüner Veltliner,18.0
8391,1,Mendoza Province,Merlot,21.0
8392,4,California,Pinot Noir,58.0
8393,4,California,Chardonnay,42.0
8394,3,California,Chardonnay,35.0
8395,1,Coastal Region,Chenin Blanc,10.0
8396,2,California,Chardonnay,20.0
8397,2,Coastal Region,Cabernet Sauvignon,12.0
8398,3,California,Red Blend,38.0
8399,3,Loire Valley,Chenin Blanc,20.0
8400,3,Bordeaux,Bordeaux-style White Blend,20.0
8401,3,Marlborough,Sauvignon Blanc,18.0
8402,2,New York,Traminette,12.0
8403,3,Veneto,Glera,29.0
8404,1,Central Spain,Sauvignon Blanc,10.0
8405,2,France Other,Rosé,15.0
8406,3,California,Chardonnay,40.0
8407,4,California,Cabernet Sauvignon,75.0
8408,4,California,Zinfandel,24.0
8409,4,California,Pinot Noir,40.0
8410,3,California,Chardonnay,25.0
8411,3,Oregon,Pinot Noir,55.0
8412,3,Oregon,Pinot Noir,20.0
8413,4,California,White Blend,36.0
8414,3,Provence,Rosé,70.0
8415,2,Leyda Valley,Pinot Noir,35.0
8416,3,California,Cabernet Sauvignon,20.0
8417,4,Northern Spain,Tempranillo,54.0
8418,4,Champagne,Chardonnay,70.0
8420,3,Oregon,Pinot Noir,32.0
8421,2,California,Pinot Noir,9.0
8422,3,Languedoc-Roussillon,Rhône-style Red Blend,20.0
8423,2,Northern Spain,Tempranillo,10.0
8424,2,California,Merlot,18.0
8425,4,Champagne,Champagne Blend,72.0
8426,3,Mosel,Elbling,16.0
8427,3,Sicily & Sardinia,Nero d'Avola,40.0
8428,1,Catalonia,Sparkling Blend,12.0
8429,3,California,Orange Muscat,25.0
8430,3,California,Cabernet Sauvignon,55.0
8431,2,California,Zinfandel,18.0
8432,1,California,Cabernet Sauvignon,14.0
8433,2,South Australia,Moscato,17.0
8434,4,California,Pinot Noir,58.0
8435,3,California,Pinot Noir,42.0
8436,4,Piedmont,Nebbiolo,75.0
8437,3,California,Pinot Gris,65.0
8438,2,Tuscany,Red Blend,15.0
8439,2,Northeastern Italy,Cabernet Sauvignon,10.0
8440,2,California,Chenin Blanc,10.0
8441,3,California,Bordeaux-style Red Blend,48.0
8442,4,South Australia,Shiraz,60.0
8443,1,South Australia,Shiraz,9.0
8446,1,California,Zinfandel,4.0
8448,1,California,Pinot Noir,28.0
8449,3,Washington,Red Blend,20.0
8450,2,Mendoza Province,Malbec,11.0
8451,2,California,Chardonnay,50.0
8452,4,California,Bordeaux-style Red Blend,55.0
8453,2,California,Chardonnay,16.0
8454,2,California,Sauvignon Blanc,32.0
8455,2,Moldova,Red Blend,22.0
8456,2,New York,Chardonnay,15.0
8457,2,Washington,Chardonnay,21.0
8458,3,Piedmont,Nebbiolo,49.0
8460,4,California,Cabernet Sauvignon,62.0
8461,2,Languedoc-Roussillon,Shiraz,8.0
8462,1,Tuscany,Sangiovese,18.0
8463,2,Northern Spain,Rosé,12.0
8465,3,California,Petite Sirah,32.0
8466,2,Catalonia,Sparkling Blend,12.0
8467,3,Alsace,Pinot Gris,23.0
8468,2,Washington,Merlot-Cabernet Sauvignon,13.0
8469,3,California,Merlot,45.0
8470,2,Piedmont,Barbera,15.0
8471,2,California,Syrah,25.0
8472,2,Burgundy,Chardonnay,20.0
8473,2,Languedoc-Roussillon,Syrah,14.0
8474,3,Washington,Red Blend,50.0
8475,3,Veneto,Glera,27.0
8476,1,California,Merlot,11.0
8477,3,Oregon,Pinot Noir,38.0
8478,2,Peloponnese,White Blend,18.0
8479,2,California,Zinfandel,25.0
8480,3,California,Cabernet Sauvignon,32.0
8481,2,Wellington,Chenin Blanc,24.0
8482,2,Northern Spain,Verdejo,12.0
8483,3,Maipo Valley,Bordeaux-style Red Blend,50.0
8484,2,Languedoc-Roussillon,Rhône-style Red Blend,14.0
8485,1,Central Spain,Tempranillo,15.0
8486,1,California,Chardonnay,15.0
8488,2,Mendoza Province,Cabernet Sauvignon,12.0
8490,1,California,Cabernet Sauvignon,8.0
8491,3,Southwest France,Tannat,17.0
8492,2,California,Riesling,18.0
8493,1,Northern Spain,Tempranillo Blend,13.0
8494,2,Bordeaux,Bordeaux-style Red Blend,17.0
8495,3,Mendoza Province,Red Blend,25.0
8496,3,Piedmont,Nebbiolo,20.0
8498,3,California,Sauvignon Blanc,23.0
8499,4,Languedoc-Roussillon,Rhône-style Red Blend,45.0
8500,2,Douro,Portuguese Red,10.0
8501,3,New York,Bordeaux-style Red Blend,22.0
8502,2,Southwest France,Colombard-Sauvignon Blanc,11.0
8503,4,California,Cabernet Franc,52.0
8504,2,California,Cabernet Sauvignon,34.0
8505,2,Champagne,Champagne Blend,52.0
8506,2,Tuscany,Sangiovese,24.0
8507,2,Oregon,Pinot Noir,20.0
8508,3,Mosel,Riesling,42.0
8509,3,Loire Valley,Sauvignon Blanc,22.0
8510,2,Mendoza Province,Malbec,14.0
8511,1,California,Sauvignon Blanc,19.0
8512,3,Tuscany,Red Blend,35.0
8513,3,Marlborough,Chardonnay,24.0
8514,2,South Australia,Riesling,20.0
8515,2,Oregon,Pinot Noir,18.0
8516,3,California,Chardonnay,15.0
8517,3,California,Viognier,24.0
8518,1,Northern Spain,Tempranillo,10.0
8519,1,Lisboa,Rosé,6.0
